Places,Type of place,State located,Interest,Personality affected I/D,Cost
Batu Ferringhi,Beaches,Penang,"food,water sport,entertainment",I,High
Port Dickson,Beaches,Negeri Sembilan,"water sport,Argo,entertainment",I,High
Pantai Bisikan Bayu,Beaches,Melacca,water sport,I,Low
A Famosa,Historical structures,Malacca,historical,D,High
Melaka Christ Church,Historical structures,Malacca,historical,D,High
Stadthuys,Historical structures,Malacca,historical,D,High
Sultan Abdul Samad Building,Historical structures,Kuala Lumpur,historical,D,High
Langkawi,Islands,Kedah,"food,water sport,island,entertainment",D,High
Pangkor,Islands,Perak,"water sport,island,historical",I,Low
Tioman,Islands,Pahang,"water sport,island,nature",I,High
Cameron Highlands,Nature,Pahang,"highland,nature,Argo",D,Low
Kenyir Lake,Nature,Terengganu,nature,I,High
Tempurung Cave,Nature,Perak,nature,I,High
Long Pasia,Nature,Sabah,nature,I,Low
Bario,Nature,Sarawak,"food,nature",I,Low
Bakelalan,Nature,Sarawak,nature,I,Low
Bukit Tinggi,Resorts,Pahang,"highland,food,nature,Argo",D,High
Genting Highlands,Resorts,Pahang,"highland,Argo,entertainment",D,High
